Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Errors,Grabs,Varied Grip
143.2867,-1,1,143.2867,143.1295,0,4.550606,0,0,False
155.4089,-1,2,155.4089,298.3564,0,5.09179,0,0,False
160.2645,-1,3,160.2645,458.3417,0,5.591189,0,0,False
164.4089,-1,4,164.4089,622.6617,0,6.082685,0,0,False
251.9644,1,1,2.883804,2.747894,2.030887,2.006666,0,1,True
256.8089,1,2,2.779388,2.255768,1.972967,1.933311,0,1,False
262.42,1,3,3.654877,3.529694,2.119009,2.101684,0,1,False
268.2978,1,4,3.914032,3.485809,2.269812,2.192697,0,1,False
274.2311,1,5,3.894073,3.518463,2.275005,2.106962,0,1,False
281.2867,1,6,2.895905,2.79248,2.101029,2.074642,0,1,False
286.1422,1,7,3.015381,2.71463,2.053588,1.990065,0,1,False
291.72,1,8,3.053406,2.73645,2.277215,2.034206,0,1,False
296.5756,1,9,2.915649,2.557404,2.252338,1.958228,0,1,False
301.4311,1,10,2.733948,2.53598,2.016215,1.979009,0,1,False
305.8311,1,11,2.665833,2.502411,2.054814,1.993708,0,1,False
312.6534,1,12,5.109467,4.065552,2.194939,2.071647,0,2,True
317.9644,1,13,2.947784,2.55838,2.148364,1.948776,0,1,False
322.3644,1,14,2.612274,2.323883,2.046339,1.908099,0,1,False
325.8311,1,15,2.012909,1.820984,2.051662,1.913642,0,1,False
349.9311,2,1,2.535492,2.445496,1.803499,1.797879,0,1,False
356.22,2,2,3.507965,3.406555,1.885265,1.875856,0,1,False
362.8867,2,3,4.075623,3.842346,1.949484,1.936587,0,1,True
369.4533,2,4,4.666565,4.557281,1.880477,1.876418,0,1,True
378.5645,2,5,3.356445,3.22821,1.912706,1.899947,0,1,False
396.5089,2,6,3.719391,3.540985,1.9414,1.927779,0,1,False
401.4089,2,7,3.224121,3.172272,1.902516,1.897092,0,1,False
407.1534,2,8,4.120758,3.987061,1.920588,1.906481,0,1,False
416.0089,2,9,3.58252,3.362183,1.877836,1.850773,0,1,False
421.1867,2,10,3.79007,3.686768,1.924744,1.917162,0,1,False
428.42,2,11,5.269928,5.204468,1.730082,1.727301,0,1,False
439.1756,2,12,3.571655,3.395874,1.819505,1.78933,0,1,False
444.8644,2,13,3.809875,3.641327,1.823934,1.805823,0,1,False
462.5533,2,14,4.074249,3.79837,1.901979,1.817055,0,1,False
466.7756,2,15,2.587585,2.468445,1.832032,1.8081,0,1,False
512.8867,3,1,4.428955,3.943115,2.106589,1.943421,0,1,False
517.8755,3,2,3.218567,3.138977,1.76263,1.742287,0,1,False
525.2978,3,3,3.559265,3.429382,1.911975,1.890064,0,1,False
540.0533,3,4,13.28809,6.355408,6.345604,3.115166,1,2,False
545.5311,3,5,3.842163,3.730225,1.797844,1.783982,1,1,False
551.1089,3,6,3.857971,3.64209,1.729218,1.702684,1,1,False
563.6533,3,7,10.37103,5.752197,7.665966,5.232234,2,2,False
568.2311,3,8,2.985413,2.848145,1.797818,1.756271,2,1,True
582.3644,3,9,2.877319,2.792419,1.888631,1.877864,2,1,True
587.8089,3,10,3.831116,3.417664,1.938412,1.76623,2,1,False
593.1311,3,11,3.579712,3.49585,1.836812,1.825343,2,1,False
598.3978,3,12,3.295044,3.060669,1.698392,1.658737,2,1,False
603.9978,3,13,3.504211,3.187317,1.931938,1.762333,2,1,False
608.0422,3,14,2.685852,2.61377,1.797061,1.789731,2,1,False
612.4312,3,15,2.919067,2.490601,2.013973,1.703834,2,1,False
625.3755,4,1,3.034729,2.881653,1.984074,1.973865,0,1,False
631.6533,4,2,4.040161,3.953857,2.02129,2.015062,0,1,False
638.8089,4,3,4.080872,4.021362,2.087286,2.083905,0,1,False
645.32,4,4,4.11322,3.451965,2.337974,2.000351,0,1,False
650.7867,4,5,3.805481,3.619507,2.085555,2.052418,0,1,True
657.4756,4,6,4.417358,4.289124,2.128803,2.118411,0,1,True
667.7756,4,7,3.637024,3.552063,1.986637,1.963799,0,1,False
673.1978,4,8,3.597229,3.317749,2.132258,1.925823,0,1,False
678.6533,4,9,3.221802,3.216919,1.949371,1.949371,0,1,False
684.3311,4,10,3.449219,3.105713,1.857348,1.848904,0,1,False
690.4312,4,11,3.986389,3.49646,2.018038,1.938393,0,1,False
718.22,4,12,25.8999,15.69397,13.88922,8.890215,2,4,True
723.2645,4,13,3.410217,3.205688,1.968321,1.93845,2,1,False
749.6867,4,14,20.30475,38.30151,12.98961,3.321034,2,2,False
758.5422,4,15,3.179199,2.971313,1.9811,1.892667,2,1,False
