Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
86.36445,1,1,2.602356,1.955238,2.552148,1.807347,0,1,True,False,False
90.20889,1,2,2.146049,1.965889,1.884768,1.832557,0,1,True,False,False
93.24223,1,3,2.08519,1.83149,1.991775,1.878013,0,1,True,True,True
96.22,1,4,2.203781,1.385658,3.686336,1.918237,0,1,True,True,True
98.02,1,5,1.524139,1.351608,1.973258,1.889471,0,1,True,True,True
100.62,1,6,1.912056,1.518692,2.320899,1.928029,0,1,True,True,True
102.7089,1,7,1.521851,1.273674,1.990911,1.929835,0,1,True,True,True
105.2645,1,8,1.78685,1.384628,2.526615,1.893561,0,1,True,True,True
107.4644,1,9,1.708893,1.34037,2.394202,1.89053,0,1,True,True,True
109.7867,1,10,1.539825,1.306267,2.048124,1.872826,0,1,True,True,True
112.4422,1,11,2.028282,1.508049,2.831684,1.874829,0,1,True,True,True
114.6644,1,12,1.827003,1.541191,2.198656,1.93293,0,1,True,True,True
117.0533,1,13,1.792053,1.452255,2.242435,1.909064,0,1,True,True,True
119.6422,1,14,2.000862,1.406441,3.167301,1.885083,0,1,True,True,True
122.2978,1,15,2.278,1.36261,3.933135,1.939033,0,1,True,True,True
137.6644,2,1,1.966202,1.787125,1.789015,1.735242,0,1,True,False,False
140.3311,2,2,1.974548,1.731384,1.998509,1.82159,0,1,True,True,True
142.6644,2,3,1.760971,1.630875,1.802208,1.761477,0,1,True,True,True
145.52,2,4,2.226074,1.719772,2.795591,1.805425,0,1,True,True,True
147.4978,2,5,1.644516,1.473862,1.845797,1.775355,0,1,True,True,True
149.6422,2,6,1.567184,1.440338,1.841268,1.7816,0,1,True,True,True
151.6756,2,7,1.412247,1.285675,1.906907,1.805001,0,1,True,True,True
153.9089,2,8,1.656784,1.50795,1.901641,1.848374,0,1,True,True,True
156.4756,2,9,1.933426,1.362839,3.110029,1.874189,0,1,True,True,True
158.3089,2,10,1.622116,1.407394,1.999875,1.755406,0,1,True,True,True
160.4422,2,11,1.588715,1.329224,2.146325,1.782503,0,1,True,True,True
162.8089,2,12,1.922333,1.630753,2.199419,1.810956,0,1,True,True,True
165.1533,2,13,1.731155,1.251633,3.020355,1.86195,0,1,True,True,True
167.4311,2,14,2.043167,1.909882,2.039411,1.954405,0,1,True,True,True
170.1533,2,15,2.1297,1.441284,3.165002,1.81958,0,1,True,True,True
182.0533,3,1,2.162216,1.887802,1.926198,1.786417,0,1,True,False,False
185.0089,3,2,2.248199,1.9095,2.235385,1.827584,0,1,True,False,False
187.6422,3,3,2.156479,1.89946,2.045983,1.773329,0,1,True,False,False
190.2422,3,4,2.052948,1.56395,2.711669,1.878631,0,1,True,False,False
192.3311,3,5,1.78511,1.552795,2.148757,1.843857,0,1,True,False,False
194.9089,3,6,2.039429,1.753906,1.944847,1.824743,0,1,True,False,False
197.4756,3,7,1.981186,1.496689,2.443184,1.846775,0,1,True,False,False
199.4311,3,8,1.613113,1.440842,1.811308,1.760979,0,1,True,False,False
202.1867,3,9,2.168365,1.496368,2.816814,1.821119,0,1,True,False,False
204.5533,3,10,2.044128,1.731415,2.084872,1.807645,0,1,True,False,False
206.8978,3,11,1.81955,1.519089,2.173561,1.805279,0,1,True,False,False
209.0978,3,12,1.729294,1.563446,1.909343,1.840477,0,1,True,False,False
211.3867,3,13,1.63916,1.451996,1.910021,1.832674,0,1,True,False,False
213.7533,3,14,1.749802,1.38472,2.357861,1.899534,0,1,True,False,False
215.6422,3,15,1.460892,1.26239,1.933996,1.849128,0,1,True,False,False
226.3089,4,1,1.910263,1.820419,1.927519,1.916337,0,1,True,False,False
229.6311,4,2,2.059998,1.607681,2.754926,1.891235,0,1,True,False,False
231.8311,4,3,1.624725,1.418915,1.975512,1.857032,0,1,True,False,False
234.3422,4,4,1.811935,1.574554,2.205417,1.892955,0,1,True,False,False
236.9533,4,5,1.955521,1.509232,2.838215,1.921984,0,1,True,False,False
239.0867,4,6,1.63063,1.418396,2.195987,1.963657,0,1,True,False,False
241.7867,4,7,2.0298,1.832291,2.054142,1.902046,0,1,True,False,False
244.4311,4,8,1.848511,1.47493,2.581333,1.88729,0,1,True,False,False
246.82,4,9,1.846451,1.351974,3.146574,1.928723,0,1,True,False,False
249.2756,4,10,2.068634,1.620056,3.176242,1.959965,0,1,True,False,False
251.6311,4,11,1.943695,1.373672,3.427579,1.952273,0,1,True,False,False
256.1422,4,12,4.165817,2.188828,5.775986,2.043406,0,2,True,False,False
258.8089,4,13,1.783295,1.575012,2.159173,1.949897,0,1,True,False,False
261.4533,4,14,1.79184,1.575226,2.037193,1.935175,0,1,True,False,False
264.3533,4,15,2.033569,1.419098,3.320827,1.916188,0,1,True,False,False
